"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00012923","2018-07-07","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","   66",",,W","    0",",,W","    0",",,W","  300",",,W","  250",",,W","   26",",,W",,,,,,,,,"  281","H,,S",,,"  120",",,W","  120",",,W",,,,,"   54",",,W","   67",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,
"USW00012923","2018-07-08","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","   18",",,W","    0",",,W","    0",",,W","  289",",,W","  244",",,W","   36",",,W",,,,,,,,,"  269","H,,S",,,"  160",",,W","  170",",,W",,,,,"   72",",,W","   89",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-09","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    3",",,W","    0",",,W","    0",",,W","  306",",,W","  267",",,W","   32",",,W",,,,,,,,,"  284","H,,S",,,"  170",",,W","  300",",,W",,,,,"   76",",,W","   94",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-10","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  311",",,W","  261",",,W","   26",",,W",,,,,,,,,"  287","H,,S",,,"  160",",,W","  170",",,W",,,,,"   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-11","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  322",",,W","  267",",,W","   32",",,W",,,,,,,,,"  289","H,,S",,,"  180",",,W","  190",",,W",,,,,"   63",",,W","   81",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-12","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  317",",,W","  267",",,W","   30",",,W",,,,,,,,,"  292","H,,S",,,"  170",",,W","  160",",,W",,,,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-13","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  322",",,W","  278",",,W","   37",",,W",,,,,,,,,"  296","H,,S",,,"  180",",,W","  170",",,W",,,,,"   63",",,W","   76",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-14","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  322",",,W","  272",",,W","   36",",,W",,,,,,,,,"  295","H,,S",,,"  180",",,W","  180",",,W",,,,,"   72",",,W","   85",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-15","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  322",",,W","  278",",,W","   47",",,W",,,,,,,,,"  299","H,,S",,,"  190",",,W","  200",",,W",,,,,"   81",",,W","  103",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","2018-07-16","29.2733","-94.8592","1.5","GALVESTON SCHOLES FIELD, TX US","    0",",,W","    0",",,W","    0",",,W","  322",",,W","  272",",,W","   48",",,W",,,,,,,,,"  297","H,,S",,,"  200",",,W","  200",",,W",,,,,"   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
