"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00026656","2018-08-18","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   12",",,R","  181",",,R","   43",",,R"
"USW00026656","2018-08-19","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   96",",,R","  158",",,R","  115",",,R"
"USW00026656","2018-08-20","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  144",",,R","   71",",,R"
"USW00026656","2018-08-21","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   25",",,R","  160",",,R","   95",",,R"
"USW00026656","2018-08-22","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   31",",,R","  126",",,R","   84",",,R"
"USW00026656","2018-08-23","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   49",",,R","  128",",,R","   78",",,R"
"USW00026656","2018-08-24","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   79",",,R","  142",",,R","   81",",,R"
"USW00026656","2018-08-25","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   16",",,R","  155",",,R","   65",",,R"
"USW00026656","2018-08-26","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   19",",,R","  123",",,R","   93",",,R"
"USW00026656","2018-08-27","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  129",",,R","   87",",,R"
"USW00026656","2018-08-28","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  139",",,R","   87",",,R"
"USW00026656","2018-08-29","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","   49",",,R","  114",",,R","   75",",,R"
"USW00026656","2018-08-30","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","  112",",,R","  119",",,R","   89",",,R"
"USW00026656","2018-09-01","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R",,,,
"USW00026656","2018-09-03","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R",,,,
"USW00026656","2018-09-04","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R",,,,
"USW00026656","2018-09-05","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R",,,,
"USW00026656","2018-09-07","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  143",",,R","   57",",,R"
"USW00026656","2018-09-08","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  167",",,R","   54",",,R"
"USW00026656","2018-09-09","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  124",",,R","   62",",,R"
"USW00026656","2018-09-10","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  171",",,R","   60",",,R"
"USW00026656","2018-09-11","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  151",",,R","   73",",,R"
"USW00026656","2018-09-12","61.3465","-164.0769","46.6","BETHEL 87 WNW, AK US","    0",",,R","  141",",,R","   76",",,R"
