"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00241008","2017-05-24","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  261",",,7","   72",",,7",,,,,,,,,"  156",",,7,1600","  171",",,7","  197",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-05-25","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  161",",,7","   33",",,7",,,,,,,,,"   83",",,7,1600","  293",",,7","  161",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-05-26","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  167",",,7","   11",",,7",,,,,,,,,"  150",",,7,1600","   11",",,7","  107",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-05-27","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  194",",,7","   11",",,7",,,,,,,,,"  194",",,7,1600","  225",",,7","  103",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-05-28","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  217",",,7","   17",",,7",,,,,,,,,"  206",",,7,1600","  180",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-05-30","46.231","-112.1138","1494.7","BOULDER, MT US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  250",",,7","   28",",,7",,,,,,,,,"  239",",,7,1600","  299",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-05-31","46.231","-112.1138","1494.7","BOULDER, MT US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","   72",",,7",,,,,,,,,"  233",",,7,1600","  299",",,7","  121",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-01","46.231","-112.1138","1494.7","BOULDER, MT US","   15",",,7,1600","    0",",,7,1600","    0",",,7,1600","  244",",,7","   78",",,7",,,,,,,,,"  200",",,7,1600","  270",",,7","  139",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-02","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  217",",,7","   72",",,7",,,,,,,,,"  211",",,7,1600","  282",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-03","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","   39",",,7",,,,,,,,,"  267",",,7,1600","  360",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
