"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA002400650","2017-11-10","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,"  -98",",,C"," -158",",,C"," -128",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-11","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -126",",,C"," -142",",,C"," -134",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-12","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -130",",,C"," -158",",,C"," -144",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-13","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -143",",,C"," -160",",,C"," -152",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-14","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -160",",,C"," -184",",,C"," -172",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-15","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -177",",,C"," -208",",,C"," -193",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-16","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -188",",,C"," -216",",,C"," -202",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-17","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,," -190",",,C"," -218",",,C"," -204",",,C","    0",",,C","    0",",,C"
"CA002400650","2017-11-18","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-19","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-20","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-21","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-23","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-24","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-25","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-26","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-27","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-28","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-29","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-11-30","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-01","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-02","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-03","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-04","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-05","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-06","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-07","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-08","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-09","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-10","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
"CA002400650","2017-12-11","66.65","-61.3833","725.0","CAPE DYER, NU CA",,,,,,,,,,,,,"    0",",,C","    0",",,C"
