"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00024057","2018-07-07","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    3",",,W","    0",",,H",,,"  344",",,W","  122",",,W","   37",",,W",,,,,,,"  255","H,,S",,,,,"  300",",,W","  290",",,W","  116",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-08","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W","    0",",,H",,,"  356",",,W","  144",",,W","   35",",,W",,,,,,,"  246","H,,S",,,,,"  120",",,W","  100",",,W","  170",",,W","  215",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-09","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W","    0",",,H",,,"  350",",,W","  161",",,W","   38",",,W",,,,,,,"  264","H,,S",,,,,"  130",",,W","  130",",,W","  148",",,W","  215",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-10","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W",,,,,"  350",",,W","  133",",,W","   52",",,W",,,,,,,"  254","H,,S",,,,,"  290",",,W","  200",",,W","  125",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-11","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","   15",",,W",,,,,"  333",",,W","  139",",,W","   45",",,W",,,,,,,"  249","H,,S",,,,,"  330",",,W","  340",",,W","  148",",,W","  183",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-12","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W",,,,,"  289",",,W","  122",",,W","   23",",,W",,,,,,,"  183","H,,S",,,,,"  330",",,W","  340",",,W","  125",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-13","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0",",,W","    0",",,H",,,"  322",",,W","  106",",,W","   34",",,W",,,,,,,"  211","H,,S",,,,,"  300",",,W","  300",",,W","   94",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-14","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0",",,W",,,,,"  344",",,W","  111",",,W","   48",",,W",,,,,,,"  233","H,,S",,,,,"  280",",,W","  280",",,W","  112",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-15","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    5",",,W","    0",",,H",,,"  294",",,W","  150",",,W","   36",",,W",,,,,,,"  222","H,,S",,,,,"   90",",,W","   90",",,W","   76",",,W","   94",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-16","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    5",",,W","    0",",,H",,,"  322",",,W","  122",",,W","   41",",,W",,,,,,,"  214","H,,S",,,,,"  260",",,W","  260",",,W","  143",",,W","  174",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-17","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W","    0",",,H",,,"  317",",,W","  100",",,W","   35",",,W",,,,,,,"  201","H,,S",,,,,"  290",",,W","  280",",,W","  130",",,W","  170",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-18","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W",,,,,"  317",",,W","   89",",,W","   47",",,W",,,,,,,"  215","H,,S",,,,,"  270",",,W","  270",",,W","  130",",,W","  170",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-19","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W",,,,,"  328",",,W","   83",",,W","   49",",,W",,,,,,,"  228","H,,S",,,,,"  250",",,W","  240",",,W","  148",",,W","  201",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-20","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0",",,W",,,,,"  339",",,W","  100",",,W","   37",",,W",,,,,,,"  232","H,,S",,,,,"  350",",,W","  330",",,W","  112",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-21","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W",,,,,"  344",",,W","  161",",,W","   37",",,W",,,,,,,"  262","H,,S",,,,,"  210",",,W","  200",",,W","  134",",,W","  170",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-22","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0","T,,W",,,,,"  278",",,W","  128",",,W","   46",",,W",,,,,,,"  227","H,,S",,,,,"  290",",,W","  280",",,W","   98",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-23","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0",",,W",,,,,"  306",",,W","  111",",,W","   32",",,W",,,,,,,"  204","H,,S",,,,,"  280",",,W","  300",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024057","2018-07-24","41.8","-107.2","2053.1","RAWLINS AIRPORT, WY US","    0",",,W",,,,,"  328",",,W","  100",",,W","   30",",,W",,,,,,,"  220","H,,S",,,,,"  350",",,W","  350",",,W","  107",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
