"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00136141","2018-04-02","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   46",",,E","  -56",",,E"
"SWE00136141","2018-04-03","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   50",",,E","  -80",",,E"
"SWE00136141","2018-04-04","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   75",",,E","    5",",,E"
"SWE00136141","2018-04-05","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   59",",,E","   19",",,E"
"SWE00136141","2018-04-06","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   75",",,E","   -2",",,E"
"SWE00136141","2018-04-07","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   92",",,E","  -24",",,E"
"SWE00136141","2018-04-08","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  125",",,E","    2",",,E"
"SWE00136141","2018-04-09","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   70",",,E","   21",",,E"
"SWE00136141","2018-04-10","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   88",",,E","   -1",",,E"
"SWE00136141","2018-04-11","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  107",",,E","  -42",",,E"
"SWE00136141","2018-04-12","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  124",",,E","  -42",",,E"
"SWE00136141","2018-04-13","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  145",",,E","  -25",",,E"
"SWE00136141","2018-04-14","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  186",",,E","   10",",,E"
"SWE00136141","2018-04-15","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  145",",,E","   28",",,E"
"SWE00136141","2018-04-16","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  120",",,E","   46",",,E"
"SWE00136141","2018-04-17","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  132",",,E","   26",",,E"
"SWE00136141","2018-04-18","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  175",",,E","   48",",,E"
"SWE00136141","2018-04-19","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  167",",,E","   34",",,E"
"SWE00136141","2018-04-20","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  216",",,E","   50",",,E"
"SWE00136141","2018-04-21","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  169",",,E","   58",",,E"
"SWE00136141","2018-04-22","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  144",",,E","   -2",",,E"
"SWE00136141","2018-04-23","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  107",",,E","   35",",,E"
"SWE00136141","2018-04-24","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"   89",",,E","   40",",,E"
"SWE00136141","2018-04-25","59.4444","13.3375","107.0","KARLSTAD AIRPORT, SW",,,"  130",",,E","    3",",,E"
